source	web_link
dutiyapāṭidesanīyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dutiyapāṭidesanīyasikkhāpadaṃ/dutiyapāṭidesanīyasikkhāpadaṃ.html
tatiyapāṭidesanīyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/tatiyapāṭidesanīyasikkhāpadaṃ/tatiyapāṭidesanīyasikkhāpadaṃ.html
catutthapāṭidesanīyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/catutthapāṭidesanīyasikkhāpadaṃ/catutthapāṭidesanīyasikkhāpadaṃ.html
sekhiyā	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sekhiyā/sekhiyā.html
parimaṇḍalasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/parimaṇḍalasikkhāpadaṃ/parimaṇḍalasikkhāpadaṃ.html
parimaṇḍalasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/parimaṇḍalasikkhāpadaṃ/parimaṇḍalasikkhāpadaṃ.html
suppaṭicchannasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/suppaṭicchannasikkhāpadaṃ/suppaṭicchannasikkhāpadaṃ.html
suppaṭicchannasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/suppaṭicchannasikkhāpadaṃ/suppaṭicchannasikkhāpadaṃ.html
susaṃvutasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/susaṃvutasikkhāpadaṃ/susaṃvutasikkhāpadaṃ.html
susaṃvutasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/susaṃvutasikkhāpadaṃ/susaṃvutasikkhāpadaṃ.html
okkhittacakkhusikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/okkhittacakkhusikkhāpadaṃ/okkhittacakkhusikkhāpadaṃ.html
okkhittacakkhusikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/okkhittacakkhusikkhāpadaṃ/okkhittacakkhusikkhāpadaṃ.html
ukkhittakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ukkhittakasikkhāpadaṃ/ukkhittakasikkhāpadaṃ.html
ukkhittakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ukkhittakasikkhāpadaṃ/ukkhittakasikkhāpadaṃ.html
ujjagghikasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ujjagghikasikkhāpadaṃ/ujjagghikasikkhāpadaṃ.html
ujjagghikasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ujjagghikasikkhāpadaṃ/ujjagghikasikkhāpadaṃ.html
uccasaddasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/uccasaddasikkhāpadaṃ/uccasaddasikkhāpadaṃ.html
uccasaddasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/uccasaddasikkhāpadaṃ/uccasaddasikkhāpadaṃ.html
kāyappacālakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kāyappacālakasikkhāpadaṃ/kāyappacālakasikkhāpadaṃ.html
kāyappacālakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kāyappacālakasikkhāpadaṃ/kāyappacālakasikkhāpadaṃ.html
bāhuppacālakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/bāhuppacālakasikkhāpadaṃ/bāhuppacālakasikkhāpadaṃ.html
bāhuppacālakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/bāhuppacālakasikkhāpadaṃ/bāhuppacālakasikkhāpadaṃ.html
sīsappacālakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sīsappacālakasikkhāpadaṃ/sīsappacālakasikkhāpadaṃ.html
sīsappacālakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sīsappacālakasikkhāpadaṃ/sīsappacālakasikkhāpadaṃ.html
khambhakatasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/khambhakatasikkhāpadaṃ/khambhakatasikkhāpadaṃ.html
khambhakatasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/khambhakatasikkhāpadaṃ/khambhakatasikkhāpadaṃ.html
oguṇṭhitasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/oguṇṭhitasikkhāpadaṃ/oguṇṭhitasikkhāpadaṃ.html
oguṇṭhitasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/oguṇṭhitasikkhāpadaṃ/oguṇṭhitasikkhāpadaṃ.html
ukkuṭikasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ukkuṭikasikkhāpadaṃ/ukkuṭikasikkhāpadaṃ.html
pallatthikasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pallatthikasikkhāpadaṃ/pallatthikasikkhāpadaṃ.html
sakkaccapaṭiggahaṇasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sakkaccapaṭiggahaṇasikkhāpadaṃ/sakkaccapaṭiggahaṇasikkhāpadaṃ.html
pattasaññīpaṭiggahaṇasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pattasaññīpaṭiggahaṇasikkhāpadaṃ/pattasaññīpaṭiggahaṇasikkhāpadaṃ.html
samasūpakapaṭiggahaṇasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/samasūpakapaṭiggahaṇasikkhāpadaṃ/samasūpakapaṭiggahaṇasikkhāpadaṃ.html
samatittikasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/samatittikasikkhāpadaṃ/samatittikasikkhāpadaṃ.html
sakkaccabhuñjanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sakkaccabhuñjanasikkhāpadaṃ/sakkaccabhuñjanasikkhāpadaṃ.html
pattasaññībhuñjanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pattasaññībhuñjanasikkhāpadaṃ/pattasaññībhuñjanasikkhāpadaṃ.html
sapadānasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sapadānasikkhāpadaṃ/sapadānasikkhāpadaṃ.html
samasūpakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/samasūpakasikkhāpadaṃ/samasūpakasikkhāpadaṃ.html
nathūpakatasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/nathūpakatasikkhāpadaṃ/nathūpakatasikkhāpadaṃ.html
odanappaṭicchādanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/odanappaṭicchādanasikkhāpadaṃ/odanappaṭicchādanasikkhāpadaṃ.html
sūpodanaviññattisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sūpodanaviññattisikkhāpadaṃ/sūpodanaviññattisikkhāpadaṃ.html
ujjhānasaññīsikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ujjhānasaññīsikkhāpadaṃ/ujjhānasaññīsikkhāpadaṃ.html
kabaḷasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kabaḷasikkhāpadaṃ/kabaḷasikkhāpadaṃ.html
ālopasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ālopasikkhāpadaṃ/ālopasikkhāpadaṃ.html
anāhaṭasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/anāhaṭasikkhāpadaṃ/anāhaṭasikkhāpadaṃ.html
bhuñjamānasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/bhuñjamānasikkhāpadaṃ/bhuñjamānasikkhāpadaṃ.html
sakabaḷasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sakabaḷasikkhāpadaṃ/sakabaḷasikkhāpadaṃ.html
piṇḍukkhepakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/piṇḍukkhepakasikkhāpadaṃ/piṇḍukkhepakasikkhāpadaṃ.html
kabaḷāvacchedakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kabaḷāvacchedakasikkhāpadaṃ/kabaḷāvacchedakasikkhāpadaṃ.html
avagaṇḍakārakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/avagaṇḍakārakasikkhāpadaṃ/avagaṇḍakārakasikkhāpadaṃ.html
hatthaniddhunakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/hatthaniddhunakasikkhāpadaṃ/hatthaniddhunakasikkhāpadaṃ.html
sitthāvakārakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sitthāvakārakasikkhāpadaṃ/sitthāvakārakasikkhāpadaṃ.html
jivhānicchārakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/jivhānicchārakasikkhāpadaṃ/jivhānicchārakasikkhāpadaṃ.html
capucapukārakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/capucapukārakasikkhāpadaṃ/capucapukārakasikkhāpadaṃ.html
surusurukārakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/surusurukārakasikkhāpadaṃ/surusurukārakasikkhāpadaṃ.html
hatthanillehakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/hatthanillehakasikkhāpadaṃ/hatthanillehakasikkhāpadaṃ.html
pattanillehakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pattanillehakasikkhāpadaṃ/pattanillehakasikkhāpadaṃ.html
oṭṭhanillehakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/oṭṭhanillehakasikkhāpadaṃ/oṭṭhanillehakasikkhāpadaṃ.html
sāmisasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sāmisasikkhāpadaṃ/sāmisasikkhāpadaṃ.html
sasitthakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sasitthakasikkhāpadaṃ/sasitthakasikkhāpadaṃ.html
chattapāṇisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/chattapāṇisikkhāpadaṃ/chattapāṇisikkhāpadaṃ.html
daṇḍapāṇisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/daṇḍapāṇisikkhāpadaṃ/daṇḍapāṇisikkhāpadaṃ.html
satthapāṇisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/satthapāṇisikkhāpadaṃ/satthapāṇisikkhāpadaṃ.html
āvudhapāṇisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/āvudhapāṇisikkhāpadaṃ/āvudhapāṇisikkhāpadaṃ.html
pādukasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pādukasikkhāpadaṃ/pādukasikkhāpadaṃ.html
upāhanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/upāhanasikkhāpadaṃ/upāhanasikkhāpadaṃ.html
yānasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/yānasikkhāpadaṃ/yānasikkhāpadaṃ.html
sayanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sayanasikkhāpadaṃ/sayanasikkhāpadaṃ.html
pallatthikasikkhāpadaṃ 2	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pallatthikasikkhāpadaṃ 2/pallatthikasikkhāpadaṃ 2.html
veṭhitasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/veṭhitasikkhāpadaṃ/veṭhitasikkhāpadaṃ.html
oguṇṭhitasikkhāpadaṃ 2	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/oguṇṭhitasikkhāpadaṃ 2/oguṇṭhitasikkhāpadaṃ 2.html
chamāsikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/chamāsikkhāpadaṃ/chamāsikkhāpadaṃ.html
nīcāsanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/nīcāsanasikkhāpadaṃ/nīcāsanasikkhāpadaṃ.html
ṭhitasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ṭhitasikkhāpadaṃ/ṭhitasikkhāpadaṃ.html
pacchatogamanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/pacchatogamanasikkhāpadaṃ/pacchatogamanasikkhāpadaṃ.html
uppathenagamanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/uppathenagamanasikkhāpadaṃ/uppathenagamanasikkhāpadaṃ.html
ṭhitouccārasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/ṭhitouccārasikkhāpadaṃ/ṭhitouccārasikkhāpadaṃ.html
hariteuccārasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/hariteuccārasikkhāpadaṃ/hariteuccārasikkhāpadaṃ.html
udakeuccārasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/udakeuccārasikkhāpadaṃ/udakeuccārasikkhāpadaṃ.html
adhikaraṇasamathā	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/adhikaraṇasamathā/adhikaraṇasamathā.html
